id,name,viaf,bmID,dbpediaID,wikipediaEntry,nomismaID,period,alt_name,date_1,date_2,mint,bio,RRC,appear,valid,created,createdBy,updated,updatedBy
14,Todus,,174466,,,tod_rrc,21,,189 BC,180 BC,Rome,"Republican moneyer, known only from his coins.",141,symbol of a bird and TOD,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
15,"Maenius, Q.",,102065,,,mae_rrc,21,,189 BC,180 BC,Rome,"Republican moneyer, possibly the Q. Maenius who was Praetor in 170 BC",143,symbol of shield and MAE,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
16,"Furius Philus, L.",,94487,,,lfp_rrc,21,,189 BC,180 BC,Rome,"Republican moneyer, possibly the L. Furius Philus who was Praetor in 171 BC.",144,LFP monogram with symbol,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
17,"Autronius, L.",,174483,,,avtr_rrc,21,,189 BC,180 BC,Rome,"Republican moneyer, possibly the L. Autronius whom the elder Cato defended.",146,AVTR as monogram,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
18,"Domitius Ahenobarbus, Cn.",,175639,,,cn_dom_1_rrc,21,,189 BC,180 BC,Rome,"Republican moneyer, presumably the Cn. Domitius Ahenobarbus who was Consul in 162 BC.",147,CN·DOM,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
19,"Marius, Q.",,174491,,,q_mari_rrc,21,,189 BC,180 BC,Rome,"Republican moneyer, known only from his coins.",148,Q·MARI,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
20,"Mamilius, L.",,174493,,,l_mamili_rrc,21,,189 BC,180 BC,Rome,"Republican moneyer, known only from his coins.",149,L·MAMILI,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
21,"Titinius, M.",,174495,,,m_titini_rrc,21,,189 BC,180 BC,Rome,"Republican moneyer, possibly a son of the M. Titinius who was Praetor Urb. in 178 BC, or of the M. Titinius Curvus who was Praetor in Nearer Spain in 178 BC.",150,M·TITINI,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
22,"Furius, S.",,,,,s_fv_rrc,21,,189 BC,180 BC,Rome,"Republican moneyer, known only from his coins.",151,S·FV (FV as monogram),1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
23,"Q[uinctilius], Sextus",,174497,,,sx_q_rrc,21,,189 BC,180 BC,Rome,"Republican moneyer, possibly a son of the P. Quinctilius Varus who was Praetor in 203 BC.",152,SX·Q,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
24,"Calpurnius, Cn.",,174500,,,cn_calp_rrc,21,,189 BC,180 BC,Rome,"Republican moneyer, presumably the father of the Cn. Calpusnius Piso who was Consul in 139. He may also be the son of the Cn. Calpurnius who was an officer during the Second Punic War.",153,CN·CALP (CALP ligatured),1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
25,"Coelius, L.",,174504,,,l_coil_rrc,21,,189 BC,180 BC,Rome,"Republican moneyer, possibly the L. Coelius who was Legate 170-169 BC.",154,L·COIL,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
26,(Furius) Purpurio,,174655,,,pvr_2_rrc,21,,179 BC,170 BC,Rome,"Republican moneyer, possibly a son of the L. Furius Purpurio who was Consul in 196 BC.",155,PVR (ligatured),1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
27,(Iuventius) Thalna,,174554,,,tal_rrc,21,,179 BC,170 BC,Rome,"Republican moneyer, may be identified with the P. Iuventius Thalna who was praetor in 149 BC.",161,TAL (monogram),1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
28,Matienus,,101938,,,mat_rrc,21,,179 BC,179 BC,Rome,"Republican moneyer, known only from his coins.",162,MAT (monogram),1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
29,"Cluvius Saxula, C.",,174589,,,c_sax_rrc,21,,169 BC,158 BC,Rome,"Republican moneyer, possibly a son of the C. Cluvius Saxula who was Praetor in 173 BC and older brother to the moneyer (Cluvius) Saxula.",173,C·SAX (SAX as monogram),1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
30,"Caecilius, A.",,174590,,,a_cae_rrc,21,,169 BC,158 BC,Rome,"Republican moneyer, possibly a son of the A. Caecilius who was Aedile of the Plebs in 189 BC.",174,A·CAE (AE ligatured),1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
31,"Sae[nius], C.",,174591,,,c_sae_rrc,21,,169 BC,158 BC,Rome,"Republican moneyer, known only from his coins.",175,C·SAE (AE ligatured),1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
32,Pae[tus],,174702,,,pae_rrc,21,,169 BC,158 BC,Rome,"Republican moneyer, known only from his coins. The name is an uncertain resolution of the monogram on the coins.",176,PAE (monogram),1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
33,"(Cornelius) Cinna, (L.)",,174605,,,cina_rrc,21,,169 BC,158 BC,Rome,"Republican moneyer, probably the L. Cornelius Cinna who was Consul in 127 BC. He came to the Consulship much later than his career as a moneyer, as befits the first of his family line to attain the Consulship.",178,CINA,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
34,Balbus,,86699,,,bal_rc,21,,169 BC,158 BC,Rome,"Republican moneyer, who cannot be identified from the uncertain cognomen Balbus; he may be an Acilius or a Naevius.",179,BAL (AL ligatured),1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
35,(Cluvius) Saxula,,174589,,,c_sax_rrc,21,,169 BC,158 BC,Rome,"Republican moneyer, possibly the younger brother of the moneyer  C. Cluvius Saxula and son of the C. Cluvius Saxula who was praetor in 173 BC.",180,SAX (AX ligatured),1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
36,(Terentius) Var[r]o,,174645,,,varo_rrc,21,,169 BC,158 BC,Rome,"Republican moneyer, possibly the A. Terentius Varro who was commissioner to L. Mummius (Consul, 146 BC). ",185,VARO (VAR ligatured),1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
37,"(Licinius) Murena, (L.)",,174646,,,mvrena_rrc,21,,169 BC,158 BC,Rome,"Republican moneyer, possibly the L. Licinius Murena who was the great-grandfather of the L. Licinius Murena who was Consul in 62 BC. The great-grandfather held the praetorship presumably before his appointment as commissioner to L. Mummius who was Consul in 146. ",186,MVRENA (MVR ligatured),1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
38,(Furius) Purpurio,,174655,,,pvr_2_rrc,21,,169 BC,158 BC,Rome,"Republican moneyer, known only from his coins.",187,PVR and sometimes murex-s,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
39,Opeimi[us],,174653,,,opeimi_rrc,21,,169 BC,158 BC,Rome,"Republican moneyer, possibly the Q. Opimius who was Consul in 154 BC.",188,OPEIMI (monogram),1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
40,"Cornelius Blasio, P.",,101971,,,p_blas_rrc,21,,169 BC,158 BC,Rome,"Republican moneyer, presumably the P. Cornelius P.f. Blasio who was Praetor in the 140s BC (praetorship attested in SEG iii, 451).",189,P·BLAS,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
41,Opei[mius],,174654,,,opei_rrc,21,,169 BC,158 BC,,"Republican moneyer, possibly the Q. Opimius who was Consul in 154 BC.",190,OPEI,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
42,Val[erius],,174692,,,val_rrc,21,,169 BC,158 BC,Rome,"Republican moneyer (presumably a Valerius), known only from his coins marked with the monogram VAL.",191,VAL,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
43,(Papirius) Turdus,,174693,,,tvrd_rrc,21,,169 BC,158 BC,Rome,"Republican moneyer, may be a son of the C. Papirius Turdus who was Tribune of the Plebs in 177 BC.",193,TVRD,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
44,(Atilius) Saranus,,102056,,,sar_rrc,21,,155 BC,,Rome,"Republican moneyer, may be the Sextus Atilius Serranus/Saranus who was Consul in 136",199,SAR,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
45,(Pinarius) Nat(ta),,174751,,,nat_rrc,21,,155 BC,,Rome,"Republican moneyer, known only from his coins.",200,NAT,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
46,"Scribonius, C.",,174768,,,c_scr_rrc,21,,154 BC,,Rome,"This may be the C. Scribonius who was Praef. Soc. in 181 BC, the son of C. Scribonius who was Praetor in 193 BC.",201,C·SCR,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
47,"(Iuventius) Thalna, C.",,174769,,,c_tal_rrc,21,,154 BC,,Rome,"Republican moneyer, known only from his coins.",202,C·TAL,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
48,"Maianius, C.",,174770,,,c_maiani_rrc,21,,153 BC,,Rome,"Republican moneyer, known only from his coins.",203,C·MAIANI,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
49,"Saufeius, L.",,175068,,,l_savf_rrc,21,,152 BC,,Rome,"Republican moneyer, known only from his coins.",204,L·SAVF,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
50,"Cornelius Sulla, P.",,175077,,,p_svla_rrc,21,,151 BC,,Rome,"Republican moneyer, probably the uncle of Lucius Cornelius Sulla, the one-time dictator of Rome. Alternatively, he may be the dictator's grandfather, depending on how one reads the generations in Velleius ii, 17,2. ",205,P.SVLA,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
51,Safra,,175081,,,safra_rrc,21,,150 BC,,Rome,"Republican moneyer, known only from his coins.",206,SAFRA,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
52,(Decimius) Flavus,,175089,,,flavs_rrc,21,,150 BC,,Rome,"Republican moneyer, known only from his coins. He may be a grandson of the C. Decimus Flavus who was Praetor in 184 BC.",207,FLAVS,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
53,(Pinarius) Natta,,175090,,,natta_rrc,21,,149 BC,,Rome,"Republican moneyer, known only from his coins.",208,NATTA,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
54,"It[e]i[us], L.",,175097,,,l_iti_rrc,21,,149 BC,,Rome,"Republican moneyer, known only from his coins.",209,L·ITI,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
55,"Iunius, C.",,175098,,,c_ivni_or_c_ivni_c_f_rrc,21,,149 BC,,Rome,"Republican moneyer, known only from his coins.",210,C·IVNI or C·IVNI·C·F,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
56,"Caecilius Metellus Macedonicus, Q.",,175100,,,q_me_rrc,21,,155 BC,149 BC,Rome,Republican moneyer who was Consul in 143 BC.,211,Q·ME,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
57,"Atilius Saranus, M.",,94469,,,m_atili_saran_rrc,21,,148 BC,,Rome,"Republican moneyer, may be a son of the M. Atilius Serranus who was Praetor in 152 BC.",214,M·ATIL[I] [SARAN],1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
58,"Marcius Libo, Q.",,175136,,,q_marc_libo_rrc,21,,148 BC,,Rome,"Republican moneyer, known only from his coins.",215,Q·MARC LIBO,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
59,"Sempronius Pitio, L.",,97158,,,l_sempr_pitio_rrc,21,,148 BC,,Rome,"Republican moneyer, known only from his coins.",216,L·SEMPR PITIO,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
60,"Terentius Lucanus, C.",,175164,,,c_ter_lvc_rrc,21,,147 BC,,Rome,"Republican moneyer, possibly the Terentius Lucanus who is master of Terence (Suetonius, Vita Terenti I), or this man's son. ",217,C·TER·LVC,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
61,"Cupiennius, L.",,175170,,,l_cvp_rrc,21,,147 BC,,Rome,"Republican moneyer, known only from his coins.",218,L·CVP + symbol of cornuco,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
62,"Antestius, C.",,175171,,,c_antesti_rrc,21,,146 BC,,Rome,"Republican moneyer, known only from his coins. Many of his coins feature a dog; if this is considered significant, it may indicate that the moneyer's cognomen is Catulus.",219,C·ANTESTI + symbol of pup,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
63,"Iunius, M.",,175176,,,m_ivni_rrc,21,,145 BC,,Rome,"Republican moneyer, a member of the Iunii Silanii, but the family tree is difficult to reconstruct.",220,M·IVNI + symbol of ass's,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
64,"Annius Rufus, T.",,175177,,,an_rvf_rrc,21,,144 BC,,Rome,"Republican moneyer, presumably the T. Annius Rufus who was Consul in 128 BC. ",221,AN RVF,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
65,"Curiatius Trigeminus, C.",,175183,,,c_cvr_trige_rrc,21,,142 BC,,Rome,"Republican moneyer, probably the father of the C. Curiatius who issued coins in 135 BC. He is probably also the C. Curiatius who was Tribune of the Plebs in 138 BC. ",223,C·CVR TRIGE,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
66,"Iulius, L.",,175184,,,l_ivli_i_rrc,21,,141 BC,,Rome,"Republican moneyer, known only from his coins. He is probably not from the branch of Iulii Caesares but a different branch of the Julian family.",224,L·IVLI,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
67,"Atilius Nomentanus, L.",,175185,,,l_atili_nom_rrc,21,,141 BC,,Rome,"Republican moneyer, possibly the L. Atilius Nomentanus who was on the staff of Q. Mucius Scaevola during Scaevola's praetorship in Asia in 120 BC. His coins have NOM in place of the usual legend ROMA. ",225,L·ATILI NOM,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
68,"Titinius, C.",,175186,,,c_titini_rrc,21,,141 BC,,Rome,"Republican moneyer, known only from his coins.",226,C·TITINI,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
69,"Aufidius Rusticus, M.",,175189,,,m_avf_rvs_rrc,21,,140 BC,,Rome,"Republican moneyer, possibly a brother of T. Ofidius / Aufidius M.f. Pop (one of the senators associated with the decree de Ambraciotibus et Athamanibus)",227,M·AVF RVS,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
70,"Valerius Flaccus, C.",,175197,,,c_val_c_f_flac_rrc,21,,140 BC,,Rome,"Republican moneyer, possibly the grandson of the C. Valerius Flaccus who was Praetor in 183 BC, and the father of the C. Valerius Flaccus who was Consul in 93 BC.",228,C·VAL·C·F FLAC,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
71,"Aurelius Cotta, M.",,175202,,,m_avreli_cota_rrc,21,,139 BC,,Rome,"Republican moneyer, possibly the father of C. Aurelius, M. Aurelius, and L. Aurelius Cotta (Consuls in 75, 74, and 65 BC respectively). He may also be the younger son of the L. Aurelius Cotta who was Consul in 144 BC.",229,M·AVRELI COTA,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
72,"Spuri[us], A.",,175226,,,a_spvri_rrc,21,,139 BC,,Rome,"Republican moneyer, known only from his coins. The interpretation of his name is uncertain. ",230,A·SPVRI,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
73,"Renius, C.",,175227,,,c_reni_rrc,21,,138 BC,,Rome,"Republican moneyer, known only from his coins.",231,C·RENI,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
74,"Gellius, Cn.",,175228,,,cn_geli_rrc,21,,138 BC,,Rome,"Republican moneyer, possibly the historian Cn. Gellius.",232,CN·GEL[I],1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
75,"(Aelius) Paetus, P.",,175230,,,p_paetvs_rrc,21,,138 BC,,Rome,"Republican moneyer, primarily known from his coins; he may be a grandson of the Q. Aelius P.f. Q.n. Paetus who was Consul in 167.",233,P.PAETVS,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
76,"Veturius, Tiberius",,175232,,,ti_vetvr_rrc,21,,137 BC,,Rome,"Republican moneyer, likely the son of T. Veturius Gracchi who was Augur from 174 BC.",234,TI·VET[VR],1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
77,"Pompeius, Sextus",,175235,,,sex_pom_rrc,21,,137 BC,,Rome,"Republican moneyer, probably the Sextus Pompeius who was Praetor around 119 BC and the father of Cn. Pompeius Strabo.",235,SEX·PO[M] + symbol of jug,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
78,"Baebius Tampilus, M.",,175236,,,m_baebi_q_f_tampil_rrc,21,,137 BC,,Rome,"Republican moneyer, known only from his coins. However, he may be the father of the M. Baebius who was Tribune of the Plebs in 103 BC. He is presumably descended from one of the Consular Baebii Tampili of the early second century.",236,M·BAEBI·Q·F TAMPIL,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
79,"Lucretius Trio, Cn.",,175254,,,cn_lvcr_trio_rrc,21,,136 BC,,Rome,"Republican moneyer, known only from his coins.",237,CN·LVCR TRIO,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
80,"Antestius Gragulus, L.",,175255,,,l_antes_gragv_rrc,21,,136 BC,,Rome,"Republican moneyer, known only from his coins. The jackdaw ('graculus') on some of his coins is an allusion to the moneyer's cognomen. He may be the L. Antestius mentioned in a Senate decree de agro Pergamo. ",238,L·ANTES GRAG[V] + symbol,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
81,"Servilius, C.",,175257,,,c_serveili_m_f_rrc,21,,136 BC,,Rome,"Republican moneyer, known only from his coins. He is not the C. Servilius in Cicero's list of provincial governors (div. in Caec. 63).",239, C·SERVEILI·M·F,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
82,"Curiatius, C.",,175259,,,c_cvr_f_trige_rrc,21,,135 BC,,Rome,"Republican moneyer, probably the son of the C. Curiatius Trigeminus who issued coins in 142 BC. His coins are marked C·CVR·F TRIGE (C. Curiatius filius Trigeminus).",240,C·CVR·F TRIGE,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
83,"Trebanius, L.",,175315,,,l_trebani_rrc,21,,135 BC,,Rome,"Republican moneyer, known only from his coins.",241,L·TREBANI,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
84,"Minucius Augurinus, C.",,175317,,,c_avg_rrc,21,,135 BC,,Rome,"Republican moneyer, presumably the brother of the Tiberius Minucius C.f. Augurinus (Tiberius Minucius q.v.) who issued coins in 134 BC.",242,C·AVG,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
85,"Minucius, Tiberius",,175320,,,ti_minvci_c_f_avgvrini_rrc,21,,134 BC,,Rome,"Republican moneyer, presumably the brother of the C. Minucius Augurinus (q.v.) who issued coins in 135 BC.",243, TI·MINVCI·C·F AVGVRINI,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
86,"Aburius Geminus, C.",,175321,,,c_abvri_gem_rrc,21,,134 BC,,Rome,"Republican moneyer, primarily known from his coins; he may be descended from the C. Aburius who was Legate in 171 BC.",244,C·ABVRI GEM,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
87,"Marcius, M.",,175322,,,m_marci_mn_f_rrc,21,,134 BC,,Rome,"Republican moneyer, known only from his coins.",245,M·MARCI·MN·F,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
88,"Numitorius, C.",,175363,,,c_nvmitori_rrc,21,,113 BC,,Rome,"Republican moneyer, probably the C. Numitorius C.f. Lem. who was mentioned in the Senatus Consultum de agro Pergameno.",246,C·NVMITORI,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
89,"Calpurnius, P.",,175364,,,p_calp_rrc,21,,133 BC,,Rome,"Republican moneyer, possibly the father of the P. Calpurnius Lanarius who was legate in 81 BC (the only other Republican Calpurnius with the praenomen Publius). ",247,P·CALP,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
90,"Minucius, L.",,175365,,,l_minvci_rrc,21,,133 BC,,Rome,"Republican moneyer, may be the father of L. Minucius Basilus.",248,L·MINVCI,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
91,"Maenius Ant[ias], P.",,175366,,,p_mae_ant_mf_rrc,21,,132 BC,,Rome,"Republican moneyer, probably descended from the P. Maenius (q.v.) who issued coins in the 190s BC. He presumably claimed descent from C. Maenius, the Consul in 338 BC who conquered Antium.",249,P·MAE·ANT·MF,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
92,"Aburius Geminus, M.",,175377,,,m_abvri_mf_gem_rrc,21,,132 BC,,Rome,"Republican moneyer, primarily known from his coins; he may be descended from the M. Aburius who was Praetor in 176 BC.",250,M·ABVRI·MF GEM,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
93,"Fabrinius, M.",,175378,,,m_fabrini_rrc,21,,132 BC,,Rome,"Republican moneyer, known only from his coins.",251,M·FABRINI,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
94,"Postumius Albinus, L.",,175380,,,l_post_alb_rrc,21,,131 BC,,Rome,"Republican moneyer, known only from his coins, but probably the son of L. Postumius Albinus (Consul 154 BC). ",252,L·POST ALB,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
95,"Opimius, L.",,175381,,,l_opeimi_rrc,21,,131 BC,,Rome,"Republican moneyer, presumably the L. Opimius who was Consul in 121 BC. ",253,L·OPEIMI,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
96,"Opimius, M.",,175382,,,m_opeimi_rrc,21,,131 BC,,Rome,"Republican moneyer, known only from his coins, but is presumably the brother of the L. Opimius (q.v.) who issued coins in the same year (131 BC).",254,M·OPEIMI,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
97,"Acilius, M.",,175383,,,m_acilivs_m_f_rrc,21,,130 BC,,Rome,"Republican moneyer, known only from his coins.",255,M·ACILIVS·M·F,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
98,"Caecilius Metellus, Q.",,175384,,,q_mete_rrc,21,,130 BC,,Rome,"Republican moneyer, presumably the Q. Caecilius Metellus who was Consul in 123 BC.",256, Q·METE,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
99,"Vargunteius, M.",,175401,,,m_vargv_rrc,21,,130 BC,,Rome,"Republican moneyer, known only from his coins.",257,M·VARGV,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
100,"Iulius Caesar, Sextus",,175406,,,sex_ivli_caisar_rrc,21,,129 BC,,Rome,"Republican moneyer, presumably the Sextus Iulius Caesar who was Praetor in 123 BC.",258, SEX·IVLI CAISAR,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
101,"(Marcius) Philippus, Q.",,175409,,,q_pilipvs_rrc,21,,129 BC,,Rome,"Republican moneyer, presumably the grandson of the Q. Marcius Philippus who was Consul in 186 and 169 BC.",259,Q·PILIPVS,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
102,"Cloelius, T.",,175410,,,t_clovli_rrc,21,,128 BC,,Rome,"Republican moneyer, the father of the T. Cloelius (or Cloulius) (q.v.) who was Legate in 83 BC. He may be the T. Cloelius of Cicero's Rosc. Am. 64.",260,T·CLOVLI,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
103,"Domitius, Cn.",,206050,,,cn_domit_rrc,21,,128 BC,,Rome,"Republican moneyer, a relative of the Cn. Domitius (q.v.) who issued coins in 116 to 115 BC, though from a different branch of the family.",261,CN·DOMI[T],1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
104,"Caecilius Metellus, L.",,0,,,l_metel_rrc,21,,128 BC,,Rome,"Republican moneyer, either the L. Caecilius Metellus Delmaticus who was Consul in 119 BC or the L. Caecilius Metellus Diadematus who was Consul in 117 BC and whose three brothers all held the moneyership.His coins are marked with an elephant's head, possibly a reference to the capture of Hasdrubal's elephants in 250 BC by L. Caecilius Metellus. ",262,elephant's head,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
105,"Cassius, C.",,175472,,,c_cassi_rrc,21,,126 BC,,Rome,"Republican moneyer, possibly the son of the C. Cassius Longinus (q.v.) who was Consul in 124 BC.",266,C·CASSI,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
106,"Quinctius Flamininus, T.",,99353,,,t_q_rrc,21,,126 BC,,Rome,"Republican moneyer, possibly the son of the T. Quinctius Flamininus who was Consul in 123 BC.",267,T·Q,1,2011-01-01 00:00:00,56,2015-08-05 00:00:00,56
